id,SleepDay, HoursAsleep , HoursTotal 
366,4/12/16,5.45,5.77
366,4/13/16,6.4,6.78
366,4/15/16,6.87,7.37
366,4/16/16,5.67,6.12
366,4/17/16,11.67,11.87
366,4/19/16,5.07,5.33
366,4/20/16,6,6.28
366,4/21/16,5.42,6.07
366,4/23/16,6.02,6.4
366,4/24/16,7.17,7.48
366,4/25/16,4.62,5.38
366,4/26/16,4.08,4.57
366,4/28/16,6.1,6.55
366,4/29/16,5.68,5.9
366,4/30/16,6.73,7.08
366,5/1/16,6.15,6.6
366,5/2/16,4.62,5.15
366,5/3/16,4.55,4.93
366,5/5/16,4.12,4.4
366,5/6/16,5.57,6.12
366,5/7/16,5.52,5.82
366,5/8/16,9.9,10.18
366,5/9/16,5.63,5.7
366,5/10/16,6.38,6.72
366,5/11/16,4.75,5.1
81,4/29/16,1.98,2.12
81,4/30/16,2.07,2.37
81,5/2/16,13.27,16.02
81,5/8/16,2.28,2.57
5072,4/15/16,10.73,16.02
5072,4/30/16,12.03,16.02
5072,5/1/16,9.83,16.02
2279,4/12/16,12.5,12.92
2279,4/13/16,6.63,7.03
2279,4/15/16,7.92,8.32
2279,4/26/16,4.93,5.25
2279,4/28/16,2.77,2.97
2035,4/12/16,8.38,9.1
2035,4/13/16,8.85,9.42
2035,4/14/16,9.08,9.47
2035,4/15/16,8.72,9.55
2035,4/16/16,8.73,9.45
2035,4/17/16,7.28,8.3
2035,4/19/16,8.3,9
2035,4/20/16,7.68,8.5
2035,4/21/16,7.95,8.57
2035,4/22/16,8.67,9.08
2035,4/23/16,8.7,9.23
2035,4/24/16,9.25,9.85
2035,4/25/16,8.43,8.85
2035,4/27/16,8.47,9.08
2035,4/28/16,8.55,9.08
2035,4/29/16,8.17,8.5
2035,4/30/16,9.55,10.12
2035,5/1/16,8.78,9.1
2035,5/2/16,8.52,9.05
2035,5/4/16,8.97,9.33
2035,5/5/16,7.8,8.08
2035,5/6/16,8.73,9.13
2035,5/7/16,8.52,8.68
2035,5/8/16,9.02,9.47
2035,5/9/16,8.85,9.27
2035,5/10/16,5.95,6.33
2035,5/11/16,8.72,9.22
2035,5/12/16,7.6,8.08
7002,4/23/16,1.02,1.15
7796,4/13/16,7.78,8.85
7796,4/14/16,7.42,8.15
7796,4/15/16,7.53,8.4
7796,4/17/16,9.27,10.03
7796,4/18/16,8.33,9.28
7796,4/19/16,7.75,8.57
7796,4/21/16,7.67,8.07
7796,4/22/16,6.75,7.68
7796,4/23/16,6.23,6.43
7796,4/24/16,7.37,7.65
7796,4/25/16,7.22,7.85
7796,4/26/16,7.27,8.17
7796,4/27/16,7.47,8.32
7796,4/28/16,6.8,7.5
7796,4/29/16,6.85,7.88
3714,4/12/16,4.57,7.82
3714,4/13/16,4.92,7.6
3714,4/14/16,4.85,6.62
3714,4/15/16,7.07,9.27
3714,4/16/16,4.72,8.5
3714,4/17/16,6.35,9.43
3714,4/18/16,6.87,8.7
3714,4/19/16,3.65,6.58
3714,4/20/16,2.53,5.08
3714,4/21/16,5.53,8.53
3714,4/22/16,5.92,7.93
3714,4/23/16,3.92,6.2
3714,4/24/16,5.17,8.77
3714,4/25/16,4.37,7.78
3714,4/26/16,4.17,6.18
3714,4/27/16,5.82,9
3714,4/28/16,4.35,7.05
3714,4/29/16,5.55,7.97
3714,4/30/16,3.95,6.37
3714,5/1/16,6.38,10.43
3714,5/2/16,3.83,6.4
3714,5/3/16,4.87,8.33
3714,5/4/16,3.55,5.6
3714,5/5/16,5.3,8
3714,5/6/16,5.38,8.53
3714,5/7/16,3.95,7.38
3714,5/8/16,4.32,7.6
3714,5/10/16,5.2,7.53
2650,4/12/16,8.35,9.02
2650,4/16/16,1.28,1.28
2650,5/3/16,5.37,5.53
2650,5/4/16,7.97,8.93
2650,5/5/16,3.77,4.13
2650,5/6/16,6.42,6.8
2650,5/8/16,6.07,6.7
2650,5/10/16,7.37,8.23
3577,4/14/16,8.92,9.28
3577,4/15/16,7.75,8.18
3577,4/16/16,8.43,8.7
3577,4/18/16,8.58,9.18
3577,4/19/16,7.68,8.3
3577,4/20/16,8.72,9.05
3577,4/21/16,0.98,1.08
3577,4/22/16,8.88,9.17
3577,4/23/16,11.53,12.03
3577,4/24/16,7.78,8.35
3577,4/25/16,8.13,8.43
3577,4/26/16,8.42,8.6
3577,4/27/16,4.77,5.12
3577,4/28/16,8.28,8.7
3577,4/29/16,8.72,9.1
3577,4/30/16,8.17,8.6
3577,5/1/16,8.07,8.33
3577,5/2/16,7.97,8.43
3577,5/3/16,7.9,8.53
3577,5/6/16,7.5,8.18
3577,5/7/16,8.45,8.83
3577,5/8/16,10.03,10.63
3577,5/9/16,8.92,9.42
3577,5/10/16,8.12,8.62
3577,5/11/16,8.82,9.3
3577,5/12/16,5.03,5.35
1847,4/15/16,8.32,8.77
1847,4/16/16,7.1,7.47
1847,4/17/16,10.32,10.68
1847,4/18/16,1.65,1.73
1847,4/19/16,5.48,5.63
1847,4/20/16,7.02,7.52
1847,4/21/16,7.37,7.63
1847,4/22/16,1.37,1.42
1847,4/23/16,7.97,8.35
1847,4/24/16,9.2,9.92
1847,4/26/16,5.32,5.77
1847,4/27/16,7.32,8.33
1847,4/28/16,7.13,7.63
1847,4/30/16,6.82,7.17
1847,5/1/16,9.12,9.95
1847,5/2/16,6.13,6.27
1847,5/4/16,6.5,6.9
1847,5/5/16,7.85,8.25
1847,5/5/16,7.85,8.25
1847,5/7/16,7.87,8.27
1847,5/8/16,8.82,9.02
1847,5/9/16,1.03,1.08
1847,5/10/16,5.9,6.25
1847,5/11/16,7.82,8.23
4986,4/12/16,7.15,7.62
4986,4/13/16,6.17,6.77
4986,4/14/16,7.35,8.2
4986,4/15/16,5.62,6.32
4986,4/16/16,7.7,8.32
4986,4/17/16,1.63,1.78
4986,4/19/16,6.47,7.07
4986,4/20/16,7.32,7.7
4986,4/21/16,7.27,7.82
4986,4/22/16,6.47,6.95
4986,4/25/16,5.47,5.75
4986,4/26/16,5.88,6.52
4986,4/27/16,5.53,6.23
4986,4/28/16,6.98,7.37
4986,4/29/16,1.77,1.8
4986,4/30/16,5.37,5.88
4986,5/1/16,7.32,7.65
4986,5/2/16,8.37,9.03
4986,5/3/16,6.95,7.5
4986,5/4/16,5.62,6.05
4986,5/5/16,7.7,8.55
4986,5/6/16,6.23,6.7
4986,5/7/16,6.68,7.27
4986,5/8/16,6.02,6.52
4986,5/9/16,7.62,8.88
4986,5/10/16,6.75,7.1
4986,5/11/16,8.32,8.83
4986,5/12/16,8.05,8.35
9924,4/21/16,2.1,2.28
9924,4/26/16,1.72,2.02
9924,4/29/16,2.85,2.98
9924,5/1/16,1.92,2.15
9924,5/8/16,2.05,2.23
1684,4/12/16,7.08,7.32
1684,4/13/16,6.67,7.17
1684,4/14/16,6.4,6.92
1684,4/15/16,4.22,4.28
1684,4/16/16,6.37,6.77
1684,4/17/16,9.85,10.2
1684,4/18/16,4.88,5.2
1684,4/19/16,7.62,8.12
1684,4/20/16,7.57,7.8
1684,4/21/16,7.08,7.23
1684,4/23/16,7.75,7.92
1684,4/24/16,8,8.43
1684,4/25/16,6.17,6.33
1684,4/26/16,7.02,7.15
1684,4/27/16,7.2,7.48
1684,4/28/16,7.37,7.68
1684,4/29/16,7.22,7.45
1684,4/30/16,7.98,8.35
1684,5/3/16,5.45,6.22
1684,5/4/16,6.87,7.23
1684,5/5/16,6.9,7.13
1684,5/6/16,6.73,7.48
1684,5/7/16,8.67,9.05
1684,5/7/16,8.67,9.05
1684,5/9/16,7.25,7.63
1684,5/10/16,6.93,7.18
1684,5/11/16,5.9,6.1
1684,5/12/16,6.73,7.37
7443,4/12/16,7.35,7.73
7443,4/13/16,7.58,8.13
7443,4/14/16,5.95,6.97
7443,4/15/16,6.28,6.82
7443,4/16/16,10.85,11.43
7443,4/17/16,5.83,6.7
7443,4/18/16,8.67,9.02
7443,4/19/16,5.95,6.83
7443,4/20/16,10.97,11.3
7443,4/21/16,6.65,7.18
7443,4/22/16,5.37,5.88
7443,4/23/16,10.52,12.08
7443,4/24/16,9.22,10.67
7443,4/25/16,7.22,7.8
7443,4/26/16,6.87,7.55
7443,4/27/16,5.78,6.52
7443,4/28/16,7.02,7.62
7443,4/29/16,7.5,8.25
7443,4/30/16,12.92,14.05
7443,5/1/16,10.37,11.43
7443,5/2/16,6.82,7.85
7443,5/3/16,6.33,7.15
7443,5/4/16,7.45,7.83
7443,5/5/16,6.98,7.73
7443,5/6/16,6.67,7.23
7443,5/7/16,7.37,7.83
7443,5/8/16,9.47,10.13
7443,5/9/16,7.55,8.23
7443,5/10/16,6.97,7.38
7443,5/11/16,7.72,8.1
7443,5/12/16,7.3,7.92
313,4/12/16,6.98,7.3
313,4/13/16,7.2,7.63
313,4/14/16,7.95,8.28
313,4/15/16,6.53,6.88
313,4/16/16,6.77,7.42
313,4/17/16,9.15,9.72
313,4/18/16,8.78,9.22
313,4/19/16,7.48,7.75
313,4/20/16,7.45,8
313,4/21/16,6.9,7.28
313,4/22/16,5.63,6.1
313,4/23/16,6.4,6.7
313,4/24/16,9.05,10.25
313,4/25/16,7.02,7.68
313,4/26/16,5.9,6.28
313,4/27/16,7.07,7.53
313,4/28/16,6.02,6.2
313,4/29/16,7.65,8.08
313,4/30/16,6.87,7.22
313,5/1/16,6.32,6.63
313,5/2/16,8.75,9.22
313,5/3/16,8.47,9.05
313,5/4/16,10.05,10.57
313,5/5/16,1.23,1.3
313,5/10/16,8.4,9.37
313,5/11/16,7.18,7.93
6160,4/16/16,6.33,6.63
6160,4/17/16,5.6,5.83
6160,4/18/16,8.22,8.5
6160,4/19/16,7.75,8.2
6160,4/20/16,7.9,8.37
6160,4/21/16,8.47,9.17
6160,4/22/16,8,9.1
6160,4/23/16,8.2,8.98
6160,4/24/16,5.88,6.12
6160,4/27/16,9.03,9.28
6160,4/28/16,6.55,6.93
6160,4/29/16,10,10.6
6160,5/1/16,8.45,9.58
6160,5/5/16,6.53,6.92
6160,5/6/16,10.97,11.63
6160,5/7/16,8.3,8.45
6160,5/8/16,9.25,10.05
6160,5/9/16,8.2,8.7
8955,4/13/16,3.92,4.33
8955,4/14/16,7.05,7.35
8955,4/15/16,6.52,6.77
1067,4/12/16,6.1,6.45
1067,4/13/16,10.5,11.32
1067,4/14/16,8.47,8.92
1067,4/15/16,6.17,6.43
1067,4/16/16,5.95,6.1
1067,4/17/16,7.12,7.43
1067,4/18/16,7.37,7.63
1067,4/19/16,7.93,8.92
1067,4/20/16,6.97,7.07
1067,4/21/16,7.52,7.62
1067,4/22/16,7.08,7.25
1067,4/23/16,8.8,9.1
1067,4/24/16,8.52,8.57
1067,4/25/16,6.67,6.92
1067,4/26/16,7.35,7.43
1067,4/27/16,7.58,7.78
1067,4/28/16,7.33,7.55
1067,4/29/16,7.22,7.45
1067,4/30/16,7.03,7.07
1067,5/1/16,6.85,7.1
1067,5/2/16,7.77,8.03
1067,5/3/16,6.57,6.97
1067,5/4/16,7.37,7.58
1067,5/5/16,7.78,8.18
1067,5/6/16,7.38,7.7
1067,5/7/16,4.97,5.57
1067,5/8/16,9.02,9.48
1067,5/9/16,8.15,8.28
1067,5/10/16,7.82,8.02
1067,5/11/16,7.53,8
1067,5/12/16,8.6,8.92
4171,4/16/16,1.32,1.37
4171,5/1/16,0.97,1.02
1926,4/12/16,8.57,8.75
1926,4/13/16,7.52,7.75
1926,4/14/16,7.87,7.93
1926,4/15/16,6.28,6.43
1926,4/19/16,7.87,8.05
1926,4/20/16,8.2,8.37
1926,4/21/16,6.5,6.85
1926,4/22/16,7.13,7.47
1926,4/24/16,11.35,11.73
1926,4/25/16,7.43,7.45
1926,4/26/16,8.08,8.33
1926,4/27/16,7.82,7.98
1926,4/28/16,5.9,6.12
1926,4/30/16,8.08,8.15
1926,5/1/16,6.47,6.78
1926,5/2/16,7.33,7.65
1926,5/3/16,7.6,7.68
1926,5/4/16,7,7.27
1926,5/6/16,5.37,5.55
1926,5/7/16,8.83,9.13
1926,5/8/16,8.02,8.5
1926,5/9/16,7.12,7.3
1926,5/11/16,7.52,7.72
1926,5/12/16,7.4,7.62
5328,4/20/16,8.1,8.22
5328,4/23/16,5.52,5.62
5328,5/7/16,1.23,1.25
3200,4/12/16,5.63,5.93
3200,4/13/16,7.45,8.12
3200,4/14/16,7.07,7.58
3200,4/15/16,8.55,8.88
3200,4/16/16,10.18,11.48
3200,4/17/16,8.75,9.85
3200,4/18/16,6.63,7.52
3200,4/19/16,6.45,7.02
3200,4/20/16,6.35,6.82
3200,4/21/16,6.6,6.95
3200,4/22/16,7.35,7.82
3200,4/23/16,9.42,9.85
3200,4/24/16,7.63,8.2
3200,4/25/16,6.47,6.7
3200,4/25/16,6.47,6.7
3200,4/26/16,9.17,9.73
3200,4/27/16,8.85,10
3200,4/28/16,8.43,9.27
3200,4/29/16,8.78,9.37
3200,4/30/16,7.8,9.25
3200,5/1/16,7.92,8.98
3200,5/2/16,5.85,6.42
3200,5/3/16,6.75,7.15
3200,5/4/16,7.35,7.95
3200,5/5/16,6.35,6.95
3200,5/6/16,5.38,5.92
3200,5/7/16,7.65,8.55
3200,5/8/16,9.08,10.1
3200,5/9/16,5.98,6.65
3200,5/10/16,5.7,6.52
3200,5/11/16,6.13,6.45
3200,5/12/16,8.27,9.1
9665,4/12/16,7.63,8.22
9665,4/13/16,8.85,9.2
9665,4/14/16,8.1,8.38
9665,4/15/16,6.05,6.28
9665,4/20/16,8.8,9.12
9665,4/22/16,6.52,6.78
9665,4/23/16,5.65,6
9665,4/27/16,7.05,7.13
9665,4/28/16,6.7,6.93
9665,4/29/16,6.63,6.77
9665,4/30/16,5.72,6
9665,5/1/16,8.38,8.78
9665,5/2/16,6.92,7.05
9665,5/3/16,8.6,9.08
9665,5/4/16,7.32,7.72